ProjectReference,FundingOrgName,ProjectCategory,ParentOrgName,SectorParentOrg,CountryParentOrg,YearCollaborationStarted,AwardExpenditurePoundsMainProject
G0300155,MRC,Research Grant,University College London,Academic/University,United Kingdom,2009,233878
G0300189,MRC,Research Grant,Heidelberg University,Academic/University,Germany,2014,444386
G0300189,MRC,Research Grant,International Multicentre persistent ADHD CollaboraTion (IMpACT),Academic/University,Global,2011,444386
G0300189,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2014,444386
G0300189,MRC,Research Grant,Radboud University Nijmegen,Academic/University,Netherlands,2013,444386
G0300189,MRC,Research Grant,Radboud University Nijmegen Medical Center,Academic/University,Netherlands,2009,444386
G0300189,MRC,Research Grant,"University of California, Los Angeles (UCLA)",Academic/University,United States,2014,444386
G0300189,MRC,Research Grant,University of Göttingen,Academic/University,Germany,2014,444386
G0300189,MRC,Research Grant,University of Zurich,Academic/University,Switzerland,2014,444386
G0300230,MRC,Research Grant,Geron Corporation,Private,United States,2006,313633
G0300230,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2006,313633
G0300356,MRC,Research Grant,Capsant Neurotechnologies,Private,United Kingdom,2006,235946
G0300356,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2015,235946
G0300356,MRC,Research Grant,Columbia University,Academic/University,United States,2006,235946
G0300356,MRC,Research Grant,Mario Negri Institute for Pharmacological Research,Charity/Non Profit,Italy,2011,235946
G0300356,MRC,Research Grant,The Garvan Institute for Medical Research,Hospitals,Australia,2006,235946
G0300356,MRC,Research Grant,University College London,Academic/University,United Kingdom,2010,235946
G0300356,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2009,235946
G0300356,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2015,235946
G0300356,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2008,235946
G0300356,MRC,Research Grant,University of Southampton,Academic/University,United Kingdom,2015,235946
G0300623,MRC,Research Grant,European Commission,Public,European Union (EU),2009,2365187
G0300623,MRC,Research Grant,University College London,Academic/University,United Kingdom,2009,2365187
G0300623,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2006,2365187
G0300623,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2009,2365187
G0301153,MRC,Research Grant,Karolinska Institute,Academic/University,Sweden,2009,938762
G0400113,MRC,Research Grant,Agilent Technologies,Private,United States,2011,607104
G0400113,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2009,607104
G0400113,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2012,607104
G0400113,MRC,Research Grant,University of Wales,Academic/University,United Kingdom,2009,607104
G0400373,MRC,Research Grant,Aga Khan University,Academic/University,Pakistan,2007,239527
G0400373,MRC,Research Grant,Foundation for Research and Technology Hellas (FORTH),Academic/University,Greece,2006,239527
G0400373,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2006,239527
G0400373,MRC,Research Grant,Leibniz Association,Academic/University,Germany,2006,239527
G0400373,MRC,Research Grant,London Sch of Hygiene and Trop Medicine,Academic/University,United Kingdom,2007,239527
G0400373,MRC,Research Grant,London School of Hygiene and Tropical Medicine (LSHTM),Academic/University,United Kingdom,2009,239527
G0400373,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2010,239527
G0400373,MRC,Research Grant,"National Heart, Lung, and Blood Institute (NHLBI)",Public,United States,2017,239527
G0400373,MRC,Research Grant,Pharmidex,Private,United Kingdom,2009,239527
G0400373,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2006,239527
G0400373,MRC,Research Grant,Royal Free Hospital,Hospitals,United Kingdom,2007,239527
G0400373,MRC,Research Grant,University of Auckland,Academic/University,New Zealand,2006,239527
G0400373,MRC,Research Grant,University of Nottingham,Academic/University,United Kingdom,2007,239527
G0400373,MRC,Research Grant,Wellcome Trust,Charity/Non Profit,United Kingdom,2009,239527
G0400720,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2011,960990
G0400720,MRC,Research Grant,"Pasteur Institute, Paris",Charity/Non Profit,France,2011,960990
G0401199,MRC,Research Grant,Max Planck Society,Academic/University,Germany,2006,1551180
G0401199,MRC,Research Grant,University of Ottawa,Academic/University,Canada,2008,1551180
G0401268,MRC,Research Grant,Columbia University,Academic/University,United States,2009,265150
G0401268,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2009,265150
G0401268,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2009,265150
G0401323,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2006,192884
G0401323,MRC,Research Grant,Loughborough University,Academic/University,United Kingdom,2013,192884
G0401323,MRC,Research Grant,New York University,Academic/University,United States,2006,192884
G0401323,MRC,Research Grant,Osaka Kyoiku University,Academic/University,Japan,2019,192884
G0401323,MRC,Research Grant,Peninsula College of Medicine & Dentistry,Academic/University,United Kingdom,2011,192884
G0401323,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2006,192884
G0401323,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2006,192884
G0401323,MRC,Research Grant,Rethink Mental Illness,Charity/Non Profit,United Kingdom,2006,192884
G0401323,MRC,Research Grant,San Filippo Neri Hospital,Hospitals,Italy,2012,192884
G0401323,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2012,192884
G0401323,MRC,Research Grant,"University of California, Los Angeles (UCLA)",Academic/University,United States,2012,192884
G0401323,MRC,Research Grant,University of Hull,Academic/University,United Kingdom,2006,192884
G0401323,MRC,Research Grant,University of York,Academic/University,United Kingdom,2012,192884
G0401540,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2006,267207
G0401540,MRC,Research Grant,Prevention and Incidence of Asthma and Mite Allergy (PIAMA),Public,Netherlands,2010,267207
G0401540,MRC,Research Grant,University of Aberdeen,Academic/University,United Kingdom,2006,267207
G0401540,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2008,267207
G0401540,MRC,Research Grant,University of Copenhagen,Academic/University,Denmark,2011,267207
G0401540,MRC,Research Grant,University of Leicester,Academic/University,United Kingdom,2008,267207
G0401540,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2006,267207
G0401540,MRC,Research Grant,University of Southampton,Academic/University,United Kingdom,2006,267207
G0401553,MRC,Research Grant,Federal University of Minas Gerais,Academic/University,Brazil,2020,370000
G0401553,MRC,Research Grant,London School of Hygiene and Tropical Medicine (LSHTM),Academic/University,United Kingdom,2008,370000
G0401553,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2018,370000
G0401553,MRC,Research Grant,University of Glasgow,Academic/University,United Kingdom,2020,370000
G0401553,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2018,370000
G0401553,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2007,370000
G0401641,MRC,Research Grant,AstraZeneca,Private,United Kingdom,2009,956886
G0401641,MRC,Research Grant,Ben-Gurion University of the Negev,Academic/University,Israel,2013,956886
G0401641,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2014,956886
G0401641,MRC,Research Grant,Institute of Genetics and Molecular and Cellular Biology (IGBMC),Academic/University,France,2015,956886
G0401641,MRC,Research Grant,Open University of Israel,Academic/University,Israel,2014,956886
G0401641,MRC,Research Grant,University of Alberta,Academic/University,Canada,2014,956886
G0401641,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2014,956886
G0401641,MRC,Research Grant,University of Geneva,Academic/University,Switzerland,2013,956886
G0401641,MRC,Research Grant,University of Milan,Academic/University,Italy,2014,956886
G0401641,MRC,Research Grant,University of Pisa,Academic/University,Italy,2014,956886
G0401641,MRC,Research Grant,University of Toronto,Academic/University,Canada,2008,956886
G0401641,MRC,Research Grant,Yale University,Academic/University,United States,2008,956886
G0500364,MRC,Research Grant,Bayer,Private,Germany,2006,1242801
G0500364,MRC,Research Grant,MRC-Technology,Private,United Kingdom,2010,1242801
G0500364,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2006,1242801
G0500364,MRC,Research Grant,University College London,Academic/University,United Kingdom,2006,1242801
G0500364,MRC,Research Grant,University of Sheffield,Academic/University,United Kingdom,2006,1242801
G0500672,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2013,301041
G0500672,MRC,Research Grant,University of Ghent,Academic/University,Belgium,2007,301041
G0500672,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2013,301041
G0500833,MRC,Research Grant,Louis Pasteur University,Academic/University,France,2007,517921
G0500833,MRC,Research Grant,National Institute of Health and Medical Research (INSERM),Public,France,2011,517921
G0500833,MRC,Research Grant,University of Göttingen,Academic/University,Germany,2007,517921
G0500833,MRC,Research Grant,University of Hasselt,Academic/University,Belgium,2011,517921
G0500833,MRC,Research Grant,University of Queensland,Academic/University,Australia,2006,517921
G0501087,MRC,Research Grant,European Institute of Oncology (IEO),Academic/University,Italy,2006,323060
G0501087,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2006,323060
G0501087,MRC,Research Grant,University of Cologne,Academic/University,Germany,2008,323060
G0501087,MRC,Research Grant,University of Oxford,Charity/Non Profit,United Kingdom,2006,323060
G0501282,MRC,Research Grant,Cancer Research UK,Charity/Non Profit,United Kingdom,2011,341573
G0501282,MRC,Research Grant,Glasgow City Council,Public,United Kingdom,2006,341573
G0501282,MRC,Research Grant,Massey University,Academic/University,New Zealand,2007,341573
G0501282,MRC,Research Grant,North Lanarkshire Council,Public,United Kingdom,2006,341573
G0501282,MRC,Research Grant,South Lanarkshire Council,Public,United Kingdom,2006,341573
G0501282,MRC,Research Grant,STAP (Dutch Institute for Alcohol Policy),Charity/Non Profit,Netherlands,2012,341573
G0501282,MRC,Research Grant,UK Clinical Research Collaboration,Academic/University,United Kingdom,2008,341573
G0501282,MRC,Research Grant,University of Stirling,Academic/University,United Kingdom,2006,341573
G0501282,MRC,Research Grant,World Health Organization (WHO),Public,Global,2012,341573
G0501444,MRC,Research Grant,Aberdeen Royal Infirmary,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Addenbrooke's Hospital,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Albany Medical College,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,Alexandria University Hospitals,Hospitals,Egypt,2006,1487627
G0501444,MRC,Research Grant,All India Institute of Medical Sciences,Academic/University,India,2006,1487627
G0501444,MRC,Research Grant,AMRI Hospitals,Hospitals,India,2006,1487627
G0501444,MRC,Research Grant,Aristotle University of Thessaloniki,Academic/University,Greece,2006,1487627
G0501444,MRC,Research Grant,Asklepios Clinic Altona,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,B.P. Koirala Institute of Health Sciences,Academic/University,Nepal,2006,1487627
G0501444,MRC,Research Grant,Baidya and Banskota Hospital (BBH),Hospitals,Nepal,2006,1487627
G0501444,MRC,Research Grant,Borsod County and University Teaching Hospital,Hospitals,Hungary,2006,1487627
G0501444,MRC,Research Grant,Brighton and Sussex University Hospitals NHS Trust,Public,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Capital University of Medical Sciences,Hospitals,China,2006,1487627
G0501444,MRC,Research Grant,Central Illinois Neuroscience Foundation (CINF),Charity/Non Profit,United States,2006,1487627
G0501444,MRC,Research Grant,Central Military Hospital,Hospitals,Czech Republic,2006,1487627
G0501444,MRC,Research Grant,University of Medicine Berlin,Academic/University,Germany,2006,1487627
G0501444,MRC,Research Grant,Christian Medical College Ludhiana Society,Academic/University,India,2006,1487627
G0501444,MRC,Research Grant,County Emergency Hospital of Timisoara (SCJUT),Hospitals,Romania,2006,1487627
G0501444,MRC,Research Grant,"County Emergency Hospital, Cluj-Napoca",Hospitals,Romania,2006,1487627
G0501444,MRC,Research Grant,"Cruces Hospital, Bilbao",Hospitals,Spain,2006,1487627
G0501444,MRC,Research Grant,Espases University Hospital,Academic/University,Spain,2006,1487627
G0501444,MRC,Research Grant,Evangelismos Hospital,Hospitals,Greece,2006,1487627
G0501444,MRC,Research Grant,First Teaching Hospital of Tianjin University of Traditional Chinese Medicine (TCM),Academic/University,China,2006,1487627
G0501444,MRC,Research Grant,Fudan University,Hospitals,China,2006,1487627
G0501444,MRC,Research Grant,Georgia Neurosurgical Institute,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,Germans Trias i Pujol University Hospital,Academic/University,Spain,2006,1487627
G0501444,MRC,Research Grant,Global Hospitals Group,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,Hartford Hospital,Hospitals,United States,2006,1487627
G0501444,MRC,Research Grant,Heidelberg University Hospital,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,Heinrich Heine University Düsseldorf,Academic/University,Germany,2006,1487627
G0501444,MRC,Research Grant,Helios Hospital Berlin-Buch,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,Hippokration General Hospital,Hospitals,Greece,2006,1487627
G0501444,MRC,Research Grant,Hirosaki University,Academic/University,Japan,2006,1487627
G0501444,MRC,Research Grant,"Horst Schmidt Kliniken, Wiesbaden",Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,Hospital Civil de Guadalajara (HCG),Hospitals,Mexico,2006,1487627
G0501444,MRC,Research Grant,"Hospital Sultanah Aminah, Johor Bahru",Hospitals,Malaysia,2006,1487627
G0501444,MRC,Research Grant,Hull Royal Infirmary,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Istanbul University,Academic/University,Turkey,2006,1487627
G0501444,MRC,Research Grant,James Cook University Hospital,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Jung Stilling Hospital,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,Kamineni Life Sciences,Private,India,2006,1487627
G0501444,MRC,Research Grant,Kassel Hospital,Academic/University,Germany,2006,1487627
G0501444,MRC,Research Grant,Kerala Institute of Medical Sciences (KIMS),Hospitals,India,2006,1487627
G0501444,MRC,Research Grant,"King Khalid University Hospital, Riyadh",Academic/University,Saudi Arabia,2006,1487627
G0501444,MRC,Research Grant,Lahore General Hospital,Hospitals,Pakistan,2006,1487627
G0501444,MRC,Research Grant,Leeds Teaching Hospitals NHS Trust,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Liberec Regional Hospital,Hospitals,Czech Republic,2006,1487627
G0501444,MRC,Research Grant,Loyola University Medical Center,Hospitals,United States,2006,1487627
G0501444,MRC,Research Grant,Maharishi Markandeshwar University,Academic/University,India,2006,1487627
G0501444,MRC,Research Grant,Mansoura University,Academic/University,Egypt,2006,1487627
G0501444,MRC,Research Grant,Mayo Clinic,Charity/Non Profit,United States,2006,1487627
G0501444,MRC,Research Grant,Medical University of Vienna,Academic/University,Austria,2006,1487627
G0501444,MRC,Research Grant,Municipal Hospital Dessau,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,National Hospital for Neurology and Neurosurgery,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,National Hospital of Sri Lanka,Hospitals,Sri Lanka,2006,1487627
G0501444,MRC,Research Grant,National Institute of Mental Health and Neurosciences,Hospitals,India,2006,1487627
G0501444,MRC,Research Grant,National Medical Centre (Seoul),Hospitals,"Korea, Republic of",2006,1487627
G0501444,MRC,Research Grant,"National Neurosciences Centre, Calcutta",Hospitals,India,2006,1487627
G0501444,MRC,Research Grant,"National Scientific Practical Centre of Emergency Medicine, Chisinau",Hospitals,"Moldova, Republic of",2006,1487627
G0501444,MRC,Research Grant,National University Hospital (NUH),Hospitals,Singapore,2006,1487627
G0501444,MRC,Research Grant,Neurosurgery Clinic Greifswald,Academic/University,Germany,2006,1487627
G0501444,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Ninewells Hospital,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,"Northwest General Hospital & Research Centre, Peshawar",Hospitals,Pakistan,2006,1487627
G0501444,MRC,Research Grant,NTT Medical Center Tokyo,Hospitals,Japan,2006,1487627
G0501444,MRC,Research Grant,Olomouc Teaching Hospital,Hospitals,Czech Republic,2006,1487627
G0501444,MRC,Research Grant,Oxford University Hospitals NHS Foundation Trust,Academic/University,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Pauls Stradins Clinical University Hospital,Public,Latvia,2006,1487627
G0501444,MRC,Research Grant,Penn State Milton S. Hershey Medical Center,Hospitals,United States,2006,1487627
G0501444,MRC,Research Grant,Poznan University of Medical Sciences,Academic/University,Poland,2006,1487627
G0501444,MRC,Research Grant,Rambam Government Hospital,Hospitals,Israel,2006,1487627
G0501444,MRC,Research Grant,Republic Klaipeda Hospital,Hospitals,Lithuania,2006,1487627
G0501444,MRC,Research Grant,"Research Medical Center, Kansas",Hospitals,United States,2006,1487627
G0501444,MRC,Research Grant,Riga East Clinical University Hospital,Hospitals,Latvia,2006,1487627
G0501444,MRC,Research Grant,Royal Preston Hospital,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Rudolfstiftung Hospital,Hospitals,Austria,2006,1487627
G0501444,MRC,Research Grant,Salford Royal NHS Foundation Trust,Public,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Sapienza University of Rome,Academic/University,Italy,2006,1487627
G0501444,MRC,Research Grant,Sheba Medical Centre,Hospitals,Israel,2006,1487627
G0501444,MRC,Research Grant,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Academic/University,India,2006,1487627
G0501444,MRC,Research Grant,St Anne's University Hospital,Hospitals,Czech Republic,2006,1487627
G0501444,MRC,Research Grant,St George's University of London,Academic/University,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,St Joseph's/Candler Health System,Hospitals,United States,2006,1487627
G0501444,MRC,Research Grant,St Jude Children's Hospital,Hospitals,United States,2006,1487627
G0501444,MRC,Research Grant,St. Marien Amberg Hospital,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,Steve Biko Academic Hospital,Academic/University,South Africa,2006,1487627
G0501444,MRC,Research Grant,Taipei Medical University Hospital,Hospitals,"Taiwan, Province of China",2006,1487627
G0501444,MRC,Research Grant,Tbilisi State Medical University,Academic/University,Georgia,2006,1487627
G0501444,MRC,Research Grant,Temple University,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,The Otto-von-Guericke University Magdeburg,Academic/University,Germany,2006,1487627
G0501444,MRC,Research Grant,"The Railway Hospital, Novosibirsk",Public,Russian Federation,2006,1487627
G0501444,MRC,Research Grant,The Walton Centre,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,Trondheim University Hospital,Hospitals,Norway,2006,1487627
G0501444,MRC,Research Grant,University College London Hospitals NHS Foundation Trust,Academic/University,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,University Hospital Erlangen,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,University Hospital Jena,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,University Hospital Murcia,Academic/University,Spain,2006,1487627
G0501444,MRC,Research Grant,University Hospital of North Staffordshire NHS Trust,Public,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,University Hospital of Valladolid,Academic/University,Spain,2006,1487627
G0501444,MRC,Research Grant,University Hospital Ostrava,Academic/University,Czech Republic,2006,1487627
G0501444,MRC,Research Grant,University Hospital Saarland (UKS),Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,University Hospital Schleswig-Holstein,Hospitals,Germany,2006,1487627
G0501444,MRC,Research Grant,University Hospital Southampton NHS Foundation Trust,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,"University Hospital Virgen de las Nieves, Granada",Hospitals,Spain,2006,1487627
G0501444,MRC,Research Grant,University Medical Center Gronigen,Hospitals,Netherlands,2006,1487627
G0501444,MRC,Research Grant,University of Bialystok,Academic/University,Poland,2006,1487627
G0501444,MRC,Research Grant,University of Cantabria,Academic/University,Spain,2006,1487627
G0501444,MRC,Research Grant,University of Illinois at Chicago,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,University of Louisville,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,University of Münster,Academic/University,Germany,2006,1487627
G0501444,MRC,Research Grant,University of Melbourne,Academic/University,Australia,2006,1487627
G0501444,MRC,Research Grant,University of Science Malaysia,Academic/University,Malaysia,2006,1487627
G0501444,MRC,Research Grant,University of Virginia (UVa),Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,Uppsala University Hospital,Hospitals,Sweden,2006,1487627
G0501444,MRC,Research Grant,Washington University in St Louis,Academic/University,United States,2006,1487627
G0501444,MRC,Research Grant,Western General Hospital,Hospitals,United Kingdom,2006,1487627
G0501444,MRC,Research Grant,"Yerevan State Medical University, Armenia",Academic/University,Armenia,2006,1487627
G0501444,MRC,Research Grant,Zagazig University Hospitals,Hospitals,Egypt,2006,1487627
G0501572,MRC,Research Grant,CAIRN Research Ltd,Private,United Kingdom,2006,391933
G0501572,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2006,391933
G0501572,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2006,391933
G0501740,MRC,Research Grant,Radboud University Nijmegen,Academic/University,Netherlands,2008,1401241
G0501740,MRC,Research Grant,Radboud University Nijmegen Medical Center,Academic/University,Netherlands,2008,1401241
G0501740,MRC,Research Grant,University College London,Academic/University,United Kingdom,2008,1401241
G0501740,MRC,Research Grant,University of British Columbia,Academic/University,Canada,2009,1401241
G0501740,MRC,Research Grant,University of Nottingham,Academic/University,United Kingdom,2009,1401241
G0502254,MRC,Research Grant,Great Ormond Street Hospital (GOSH),Hospitals,United Kingdom,2006,326254
G0502254,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2006,326254
G0502254,MRC,Research Grant,University College London,Academic/University,United Kingdom,2006,326254
G0600000,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2011,335239
G0600000,MRC,Research Grant,"Pasteur Institute, Paris",Charity/Non Profit,France,2011,335239
G0600006,MRC,Research Grant,Animal Health And Veterinary Laboratories Agency (AHVLA),Public,United Kingdom,2010,368920
G0600006,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2011,368920
G0600006,MRC,Research Grant,Max Planck Society,Academic/University,Germany,2011,368920
G0600237,MRC,Research Grant,Academic Medical Center,Academic/University,Netherlands,2010,825352
G0600237,MRC,Research Grant,Academy of Athens,Charity/Non Profit,Greece,2008,825352
G0600237,MRC,Research Grant,Alliance Against Cancer,Public,Italy,2008,825352
G0600237,MRC,Research Grant,Almirall,Private,Spain,2009,825352
G0600237,MRC,Research Grant,AstraZeneca,Private,United Kingdom,2009,825352
G0600237,MRC,Research Grant,Autonomous University of Madrid,Academic/University,Spain,2008,825352
G0600237,MRC,Research Grant,Babraham Bioscience Technologies,Private,United Kingdom,2008,825352
G0600237,MRC,Research Grant,Bayer,Private,Germany,2009,825352
G0600237,MRC,Research Grant,Boehringer Ingelheim,Private,Germany,2009,825352
G0600237,MRC,Research Grant,deCODE genetics,Academic/University,Iceland,2008,825352
G0600237,MRC,Research Grant,EMBL European Bioinformatics Institute (EMBL - EBI),Academic/University,United Kingdom,2008,825352
G0600237,MRC,Research Grant,Erasmus MC,Academic/University,Netherlands,2008,825352
G0600237,MRC,Research Grant,Esteve,Private,Spain,2009,825352
G0600237,MRC,Research Grant,F. Hoffmann-La Roche AG,Private,Global,2009,825352
G0600237,MRC,Research Grant,"Federal Ministry of Science, Research and Economy (BMWFW)",Public,Austria,2008,825352
G0600237,MRC,Research Grant,Fraunhofer Society,Private,Germany,2008,825352
G0600237,MRC,Research Grant,General Secretariat For Research & Technology,Public,Greece,2008,825352
G0600237,MRC,Research Grant,German Federal Ministry of Education and Research,Public,Germany,2008,825352
G0600237,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2009,825352
G0600237,MRC,Research Grant,Government of Estonia,Public,Estonia,2008,825352
G0600237,MRC,Research Grant,Government of France,Public,France,2008,825352
G0600237,MRC,Research Grant,Government of the Netherlands,Public,Netherlands,2008,825352
G0600237,MRC,Research Grant,Health Research Board (HRB),Public,Ireland,2008,825352
G0600237,MRC,Research Grant,Helmholtz Association of German Research Centres,Academic/University,Germany,2008,825352
G0600237,MRC,Research Grant,International Agency for Research on Cancer (IARC),Academic/University,France,2008,825352
G0600237,MRC,Research Grant,Johnson & Johnson,Private,United States,2009,825352
G0600237,MRC,Research Grant,Karolinska Institute,Academic/University,Sweden,2009,825352
G0600237,MRC,Research Grant,Karolinska University Hospital,Hospitals,Sweden,2009,825352
G0600237,MRC,Research Grant,King's College Hospital NHS Foundation Trust (NCH),Hospitals,United Kingdom,2011,825352
G0600237,MRC,Research Grant,Legal Pathways Institute for Health and Bio-Law,Private,Netherlands,2008,825352
G0600237,MRC,Research Grant,Leiden University Medical Center,Academic/University,Netherlands,2008,825352
G0600237,MRC,Research Grant,London School of Economics and Political Science,Academic/University,United Kingdom,2008,825352
G0600237,MRC,Research Grant,Lundbeck Foundation,Charity/Non Profit,Denmark,2009,825352
